1, State-gov,77516, Bachelors,13, Adm-clerical,2174,0,40, <=50K
2, Self-emp-not-inc,83311, Bachelors,13, Exec-managerial,0,0,13, <=50K
3, Private,215646, HS-grad,9, Handlers-cleaners,0,0,40, <=50K
4, Private,234721, 11th,7, Handlers-cleaners,0,0,40, <=50K
5, Private,338409, Bachelors,13, Prof-specialty,0,0,40, <=50K
6, Private,284582, Masters,14, Exec-managerial,0,0,40, <=50K
7, Private,160187, 9th,5, Other-service,0,0,16, <=50K
8, Self-emp-not-inc,209642, HS-grad,9, Exec-managerial,0,0,45, >50K
9, Private,45781, Masters,14, Prof-specialty,14084,0,50, >50K
10, Private,159449, Bachelors,13, Exec-managerial,5178,0,40, >50K
11, Private,280464, Some-college,10, Exec-managerial,0,0,80, >50K
12, State-gov,141297, Bachelors,13, Prof-specialty,0,0,40, >50K
13, Private,122272, Bachelors,13, Adm-clerical,0,0,30, <=50K
14, Private,205019, Assoc-acdm,12, Sales,0,0,50, <=50K
15, Private,121772, Assoc-voc,11, Craft-repair,0,0,40, >50K
16, Private,245487, 7th-8th,4, Transport-moving,0,0,45, <=50K
17, Self-emp-not-inc,176756, HS-grad,9, Farming-fishing,0,0,35, <=50K
18, Private,186824, HS-grad,9, Machine-op-inspct,0,0,40, <=50K
19, Private,28887, 11th,7, Sales,0,0,50, <=50K
20, Self-emp-not-inc,292175, Masters,14, Exec-managerial,0,0,45, >50K
21, Private,193524, Doctorate,16, Prof-specialty,0,0,60, >50K
22, Private,302146, HS-grad,9, Other-service,0,0,20, <=50K
23, Federal-gov,76845, 9th,5, Farming-fishing,0,0,40, <=50K
24, Private,117037, 11th,7, Transport-moving,0,2042,40, <=50K
25, Private,109015, HS-grad,9, Tech-support,0,0,40, <=50K
26, Local-gov,216851, Bachelors,13, Tech-support,0,0,40, >50K
27, Private,168294, HS-grad,9, Craft-repair,0,0,40, <=50K
28, ?,180211, Some-college,10, ?,0,0,60, >50K
29, Private,367260, HS-grad,9, Exec-managerial,0,0,80, <=50K
30, Private,193366, HS-grad,9, Craft-repair,0,0,40, <=50K
31, Local-gov,190709, Assoc-acdm,12, Protective-serv,0,0,52, <=50K
32, Private,266015, Some-college,10, Sales,0,0,44, <=50K
33, Private,386940, Bachelors,13, Exec-managerial,0,1408,40, <=50K
34, Federal-gov,59951, Some-college,10, Adm-clerical,0,0,40, <=50K
35, State-gov,311512, Some-college,10, Other-service,0,0,15, <=50K
36, Private,242406, 11th,7, Machine-op-inspct,0,0,40, <=50K
37, Private,197200, Some-college,10, Machine-op-inspct,0,0,40, <=50K
38, Private,544091, HS-grad,9, Adm-clerical,0,0,25, <=50K
39, Private,84154, Some-college,10, Sales,0,0,38, >50K
40, Self-emp-not-inc,265477, Assoc-acdm,12, Prof-specialty,0,0,40, <=50K
41, Private,507875, 9th,5, Machine-op-inspct,0,0,43, <=50K
42, Self-emp-not-inc,88506, Bachelors,13, Prof-specialty,0,0,40, <=50K
43, Private,172987, Bachelors,13, Tech-support,0,0,50, <=50K
44, Private,94638, HS-grad,9, Adm-clerical,0,0,40, <=50K
45, Private,289980, HS-grad,9, Handlers-cleaners,0,0,35, <=50K
46, Federal-gov,337895, Bachelors,13, Prof-specialty,0,0,40, >50K
47, Private,144361, HS-grad,9, Machine-op-inspct,0,0,38, <=50K
48, Private,128354, Masters,14, Exec-managerial,0,0,40, <=50K
49, State-gov,101603, Assoc-voc,11, Craft-repair,0,0,40, <=50K
50, Private,271466, Assoc-voc,11, Prof-specialty,0,0,43, <=50K
51, Private,32275, Some-college,10, Exec-managerial,0,0,40, <=50K
52, Private,226956, HS-grad,9, Other-service,0,0,30, <=50K
53, Private,51835, Prof-school,15, Prof-specialty,0,1902,60, >50K
54, Federal-gov,251585, Bachelors,13, Exec-managerial,0,0,55, >50K
55, Self-emp-inc,109832, HS-grad,9, Exec-managerial,0,0,60, <=50K
56, Private,237993, Some-college,10, Tech-support,0,0,40, >50K
57, Private,216666, 5th-6th,3, Machine-op-inspct,0,0,40, <=50K
58, Private,56352, Assoc-voc,11, Other-service,0,0,40, <=50K
59, Private,147372, HS-grad,9, Adm-clerical,0,0,48, <=50K
60, Private,188146, HS-grad,9, Machine-op-inspct,5013,0,40, <=50K
61, Private,59496, Bachelors,13, Sales,2407,0,40, <=50K
62, ?,293936, 7th-8th,4, ?,0,0,40, <=50K
63, Private,149640, HS-grad,9, Transport-moving,0,0,40, <=50K
64, Private,116632, Doctorate,16, Prof-specialty,0,0,45, >50K
65, Private,105598, Some-college,10, Tech-support,0,0,58, <=50K
